Item Name,Quantity
biolink:negatively_correlated_with,1.0
biolink:not_completed_by,1.0
biolink:nutrient_of,1.0
biolink:occurs_in,0.9928978926533939
biolink:occurs_in_disease,1.0
biolink:occurs_together_in_literature_with,1.0
biolink:opposite_of,0.9999913757044971
biolink:orthologous_to,1.0
biolink:overlaps,0.9631656339072802
biolink:paralogous_to,1.0
biolink:part_of,1.0
biolink:participates_in,0.997516202895176
biolink:phenotype_of,1.0
biolink:physically_interacts_with,0.8639388019991117
biolink:plasma_membrane_part_of,1.0
biolink:positively_correlated_with,1.0
biolink:preceded_by,1.0
biolink:precedes,0.997304907655356
biolink:predisposes_to_condition,0.9897370883515952
biolink:preventative_for_condition,0.9905477721288642
biolink:primarily_composed_of,1.0
biolink:produced_by,1.0
biolink:produces,0.985437877043419
biolink:promotes_condition,0.989573226737041
biolink:provider,1.0
biolink:publisher,1.0
biolink:regulated_by,1.0
biolink:regulates,0.9990427031991824
biolink:related_condition,1.0
biolink:related_to,0.0
biolink:related_to_at_concept_level,0.8838781732017266
biolink:related_to_at_instance_level,0.17551303777872646
biolink:resistance_associated_with,1.0
biolink:response_affected_by,1.0
biolink:response_decreased_by,1.0
biolink:response_increased_by,1.0
biolink:same_as,0.997145358188553
biolink:sensitivity_associated_with,1.0
biolink:sequence_location_of,1.0
biolink:similar_to,0.9964209173663127
biolink:studied_to_treat,0.9642177979586293
biolink:subclass_of,0.9041797648154616
biolink:subject_of_treatment_application_or_study_for_treatment_by,1.0
biolink:superclass_of,1.0
biolink:target_for,1.0
biolink:taxon_of,1.0
biolink:temporally_related_to,0.9972962833598531
biolink:tested_by_clinical_trials_of,1.0
biolink:tested_by_preclinical_trials_of,1.0
biolink:transcribed_from,1.0
biolink:transcribed_to,1.0
biolink:translates_to,1.0
biolink:translation_of,1.0
biolink:treated_by,1.0
biolink:treated_in_studies_by,1.0
biolink:treatment_applications_from,1.0
biolink:treats,0.9792542571678676
biolink:treats_or_applied_or_studied_to_treat,0.9153180424574068
biolink:variant_part_of,1.0
biolink:xenologous_to,1.0
